Cspp1
Efhc1
1500015O10Rik
Dnah7b
Gm973
Spag16
Igfbp2
Catip
Ccdc108
Fbxo36
Iqca
Crocc2
Map3k19
Prelp
Cep350
Cfap126
Tagln2
Cfap45
Rd3
Meig1
Armc3
Enkur
Tubb4b
1700007K13Rik
Spaca9
Cfap77
Swi5
Morn5
Strbp
Crb2
Ccdc173
Erich2
Ttc30b
C1qtnf4
Cd82
Ccdc34
Fsip1
Hdc
Nphp1
Spef1
Cfap61
6820408C15Rik
Pltp
Tmem212
Lrrc34
Ccdc39
Anxa5
Hspa4l
Ccna1
Tm4sf1
Mlf1
Zbbx
Lrrc71
4933434E20Rik
S100a11
Riiad1
Spag17
Atp1a1
Hipk1
Pifo
Plppr4
Wdr63
2610301B20Rik
Tmem67
Cfap206
1110017D15Rik
Dnaic1
Spag8
Grhpr
Ccdc180
Txn1
Lpar1
Ift74
Tctex1d1
Wdr78
Spata6
Tctex1d4
Cfap57
Ccdc30
Dnali1
Oscp1
Nudc
Ubxn11
Akr7a5
Fhad1
Cfap74
Cfap69
Ccdc146
Drc1
1700001C02Rik
Mapre3
Ift172
Ccdc96
Spata18
Cdkl2
1700007G11Rik
Cds1
Dynll1
Ccdc60
Iqcd
Fam216a
Ift81
Wdr66
Lrrc43
Tctn2
Dnah10
Phkg1
Ift22
Rsph10b
1700019G24Rik
Cav2
Iqub
Rarres2
Dnah6
1700003E16Rik
Chchd6
Cfap100
Ttll3
Efcab12
Lrrc23
Casc1
Cox6b2
Calm3
Eml2
Apoc1
Mia
Spint2
Dmkn
Ruvbl2
Ccdc114
Htatip2
Nmb
Saxo2
Cfap161
Ccdc81
Ankrd42
Dnajb13
Lrrc51
BC051019
Dnah3
Vwa3a
D430042O09Rik
Ccdc189
Fank1
Cfap46
Kndc1
Kcnq1ot1
Myo16
Col4a1
Gas6
4932443I19Rik
Nek5
Erlin2
Got1l1
Nek1
Pbx4
Ssbp4
RP24-160I20.1
Rpgrip1l
Mt2
Mt1
Drc7
Ccdc113
Tppp3
Tsnaxip1
Tango6
Hydin
Dynlrb2
Dnaaf1
Fam92b
Spata33
Dync2h1
Cep126
1700012B09Rik
Ccdc67
Ccdc151
Elof1
Dpy19l2
Hyls1
Spa17
Usp2
Ccdc153
Gm5617
Ttc12
Pih1d2
1110032A03Rik
4833427G06Rik
Elmod1
Anxa2
Fam81a
Myo1e
Mns1
Ccpg1os
Gsta4
Ctsh
Nme9
Abhd14a
Zmynd10
Ndufaf3
Dalrd3
Kif9
Dlec1
Ttc21a
Ulk4
Lztfl1
Ccdc170
Syne1
Aig1
Myb
Rsph4a
Ak9
Ppil6
Ascc1
Gm17455
Stox1
1700040L02Rik
Ddt
Chchd10
Gm867
Gpx4
Smim24
Tcp11l2
Slc17a8
Cfap54
Eea1
Lrriq1
Pawr
Csrp2
Mdm1
Ptges3
Ccdc157
Aebp1
Gm11992
Fam161a
Cfap36
Wwc1
Pttg1
Fam183b
Lrrc48
B9d1
Pmp22
Dnah9
Cfap52
Tmem107
Dnah2
Tekt1
1700016K19Rik
Ift20
Dusp14
Ttll6
Lrrc46
Ttc25
Ptrf
Dnaic2
Foxj1
Timp2
Ccdc40
Wdr35
2410004P03Rik
Efcab10
Arl4a
Nin
Dhrs7
Hspa2
Ppp1r36
Gm26777
Bbof1
Acyp1
Ift43
