Pbx4
Myb
Sox9
Foxj1
Fos
Id4
Plagl1
Tulp3
Fosb
Tsc22d4
Rfx3
Hes5
Glis3
Trp73
Phtf1
Dlx4
Rfx2
Tfeb
Klf4
Rora
Lhx2
Csdc2
Hes1
Foxn4
E2f7
Mxi1
Rreb1
Nkx6-2
Tgif1
Zfp423
Zfp36l1
Cebpb
Rest
Carhsp1
Gli3
Hey1
Peg3
Six3
Npas1
Srebf1
Zfp474
Epas1
Tax1bp1
Otx2
Rfx1
Foxo1
Prdm16
Nr2e1
Klf9
Creb3l1
Trps1
Zfp91
Mzf1
Tox2
Pax6
Prrx1
Meox1
Zfp467
Zfp318
Sox2
Zfhx4
Zfp36l2
Dbp
Arid5a
Rorb
Jun
Zfp608
Nr4a3
Hopx
Cebpd
Jund
Hivep2
Nr4a1
Nfatc2
Bbx
Ttf1
Zbtb20
Zmat1
Zfp655
Foxa2
Aff1
Dnajc1
Klf2
Irx5
Thra
Nr1d1
Zbtb41
Bhlhe40
Zbtb11
Sall1
Nfe2l1
Tcf7l1
Atf3
Pura
AI987944
Thap3
Junb
Thyn1
Smad5
Tfcp2l1
Zbtb4
Nfat5
Gatad1
Zfp385a
Dach2
Cpeb1
Nfkb1
Atoh8
Zfp800
Elf4
Tcf7l2
Rarg
Setbp1
Zbtb7b
Mllt10
Prdm8
Nfia
Klf15
Klf3
Nfatc1
Glmp
Nr2f6
Cdip1
Tulp1
Tox
Npas3
Hmgxb3
Zfp446
Mbd1
Zbtb10
Nr3c1
Foxp1
Msx1
Nr1d2
Elk3
Nr3c2
Tmf1
5430403G16Rik
Zfp941
Zfp521
Zbtb38
Zbtb44
Hsf2
Dach1
Zbtb7c
Hey2
Maz
Zfp449
Emx1
Mier1
Nfe2l2
Zfp459
Arid4a
Npas2
Zfp719
Mga
Fezf2
Zkscan7
Nkx2-3
Tead3
Zfp667
Hmg20b
Hlf
Nr2f2
Tulp4
Nfatc4
Ar
Pias2
Pou3f2
Smad6
Zhx2
Zfp777
Son
Baz2b
Clock
Rarb
Atf7
Rcor3
Jazf1
Zfp867
D130040H23Rik
Zfp652
Zfp395
Casz1
Zfp956
Esrrg
Mtf1
Litaf
Sox21
Ebf4
Irf8
Gtf2i
Zfp24
Ahr
Zbtb7a
Tfcp2
Rlf
Elmsan1
Rfx4
Ppara
Batf3
Crebrf
Smad3
Bcl6b
Mxd4
Crebl2
Terf1
Ikzf2
Tsc22d1
Zhx3
Lcorl
Zfp651
Zfp263
Dmrta2
Rxra
Hif3a
Zfp592
Znfx1
Creb3
Bhlhe41
Zfp382
Nfxl1
Tef
Carf
4930522L14Rik
Setdb1
Smad9
Pou6f1
Zhx1
Jdp2
Prrx2
Zfp217
Zfp512b
Zfp946
Hivep3
Atf6
Sox5
Smarca1
Zfp953
Mbd2
Cbfb
Zfp609
Irf3
Erf
Tfap2c
Preb
Irf9
Zfp568
Gzf1
Klf6
Mafk
Six5
Zfx
Zfp433
Rcor1
Zfp879
Rfx5
2010315B03Rik
Foxk1
Zfp771
Zfp119a
Zfp711
Zfp516
Otx1
Ikzf4
Plag1
Srebf2
Srf
Zbtb25
Arntl
Nr1h3
Gm6710
Blzf1
Elf2
Rit1
Cebpg
Purb
Gm14305
Zfp626
Zfp931
Mlx
Sp1
Stat5b
Mbd4
Baz2a
Rfxank
Tshz3
Nr2f1
Zfp712
Creb3l2
Tsc22d3
Zfp654
Max
Zfp229
Thap7
Emx2
Zfp964
Zfp40
Arid1b
Zfp300
Zfp942
Zscan29
Cc2d1a
Repin1
Foxo3
Snapc4
Rara
Gli2
Tada2b
Pbx2
Zfp758
