1500015O10Rik
Gm973
Igfbp2
Fbxo36
Crocc2
Map3k19
Prelp
Tagln2
Cfap45
Meig1
Armc3
1700007K13Rik
Cfap77
Swi5
Strbp
Crb2
Ccdc173
Erich2
C1qtnf4
Cd82
Ccdc34
Hdc
Cfap61
6820408C15Rik
Pltp
Tmem212
Anxa5
Hspa4l
Ccna1
Tm4sf1
Lrrc71
4933434E20Rik
S100a11
Riiad1
Hipk1
Plppr4
1110017D15Rik
Spag8
Grhpr
Ccdc180
Txn1
Lpar1
Tctex1d1
Ccdc30
Oscp1
Ubxn11
Akr7a5
Fhad1
Cfap74
Ccdc146
1700001C02Rik
Mapre3
Ccdc96
Cdkl2
1700007G11Rik
Cds1
Ccdc60
Fam216a
Lrrc43
Phkg1
Rsph10b
1700019G24Rik
Cav2
Rarres2
1700003E16Rik
Chchd6
Efcab12
Cox6b2
Calm3
Eml2
Apoc1
Mia
Spint2
Dmkn
Htatip2
Nmb
Ccdc81
Ankrd42
Lrrc51
BC051019
Vwa3a
Ccdc189
Cfap46
Kndc1
Kcnq1ot1
Myo16
Col4a1
Gas6
4932443I19Rik
Nek5
Erlin2
Got1l1
Pbx4
Ssbp4
RP24-160I20.1
Mt2
Mt1
Tppp3
Tsnaxip1
Tango6
Spata33
Ccdc67
Elof1
Dpy19l2
Usp2
Ccdc153
Gm5617
Pih1d2
1110032A03Rik
4833427G06Rik
Elmod1
Anxa2
Fam81a
Myo1e
Ccpg1os
Gsta4
Nme9
Abhd14a
Ndufaf3
Dalrd3
Kif9
Ttc21a
Aig1
Ak9
Ppil6
Ascc1
Gm17455
Stox1
Ddt
Chchd10
Gm867
Gpx4
Smim24
Tcp11l2
Slc17a8
Eea1
Lrriq1
Pawr
Csrp2
Ptges3
Ccdc157
Aebp1
Gm11992
Wwc1
Pttg1
Pmp22
1700016K19Rik
Dusp14
Lrrc46
Ptrf
Timp2
2410004P03Rik
Efcab10
Arl4a
Dhrs7
Hspa2
Ppp1r36
Gm26777
Acyp1
3300002A11Rik
Nudt14
Crip2
Crip1
Bphl
Lgals3
Rnase4
Dnajc15
Fam216b
Dnajc3
Oxct1
Capsl
Fam134b
Rgs22
Aard
Gm16006
Plec
1700088E04Rik
Shisa8
Tspo
Odf3b
Syt10
Slc38a1
Aifm3
Lrrc74b
Ccdc74a
Maats1
Arhgdig
Cdkn1a
Crip3
Efhb
Crim1
Vit
Cdkl4
Osbpl1a
Spata24
Cystm1
Gnal
Pla2g16
Ahnak
Lrrc10b
1700028P14Rik
Fam189a2
Slc35a2
Fhl1
Tmem47
Zcchc18
St3gal6
Wnt4
Nipal3
Plekha7
Fam47e
Hacd1
Slc14a2
Lrrc9
Ly6h
Rasgrp1
Pikfyve
Ech1
Fsd1l
Morn3
Prrg4
Ccdc148
Agbl3
Rab36
Efemp2
Nat9
Fgfr1op
Gm11837
Rnf138rt1
Pitpnm1
Ndufb5
Dnaja4
Ribc2
Ccdc121
Etfa
Ccdc171
4932438H23Rik
Otud1
Dtx1
Morn2
Ankrd54
Iqck
Plxdc2
Gm20501
Grk4
Mycbpap
4933407L21Rik
Gclm
Cadm1
Tmem232
Map9
1700030J22Rik
Fam229b
Ildr2
2700046G09Rik
Med25
Dnajb2
Hsph1
Adgb
Gm12144
Nek11
Bbox1
Prr7
Msrb2
Myl4
Naga
Plvap
Tmem53
Stpg1
Dusp18
Bicc1
Acot5
Hsbp1
Npnt
Calml4
Erich3
Gm19412
Anks1b
1700086L19Rik
Pdzd2
Gng5
Rnf32
Pebp1
Serinc3
Fam166b
Sec24d
BC022687
Trpc7
Acta2
Mycbp
Smkr-ps
Cbarp
Styxl1
Ankrd66
Gstt1
1700011I03Rik
Gns
B3gnt4
Suclg1
Tex26
Ccdc191
Traf3ip2
Ccdc61
Plin5
Spata17
Cib1
Lrrc73
Ankrd45
4930415O20Rik
Mpp5
Dst
Ccdc162
Gas2l1
Fam173a
Fat1
Idh1
4930412C18Rik
Kctd12
Glis3
Ppp1r14c
Fam98c
Plxnb2
Epb41l4a
2210408I21Rik
Faah
1700013F07Rik
Ckap5
Mdh1b
Gm29508
BC049715
Trim37
Mif4gd
Camk1d
Ttc16
Ap4s1
Stk33
Dixdc1
Clmn
Zmynd12
Bcap31
Rbms1
BC005624
Adss
Sdpr
Lrguk
Fth1.1
Gm33050
Med31
Dpp6
Ergic3
2010204K13Rik
