B3glct
Ccdc88c
Clic4
Col4a1
Crb2
Dag1
Dnah14
Dph6
Fancb
Hras
Lamb1
Lrrc8b
Mmachc
Mpdz
Mtm1
Nras
Pomgnt1
Pomt1
Shoc2
Ski
Tbx1
Vangl1
Wnt3
Eml1
Fzd3
Myh9
Sgsm3
Smarcb1
Snx27
Ar
Arvcf
B4galt1
Bdnf
Bok
Chpt1
Col18a1
Col1a2
Comt
Dock6
Ebp
Eci1
Eogt
Ercc3
F5
Fancd2
Fanci
Fancl
Galc
Gclc
Glb1
Gpc3
Gpc4
Hccs
Ids
Ifng
Itpr1
4932438A13Rik
Kif4
Lamc2
Map2k2
Fam188b
Musk
Nell1
Nf2
Nid1
Nmnat2
Ogdh
Pcbd1
Pdgfb
Pih1h3b
Pomgnt2
Ppp1cb
Ppp2r5d
Psmg1
Rreb1
S100a10
S100b
Sec24d
Sik3
Sin3a
Slc12a2
Slc13a5
Slc17a5
Tchh
Trp63
Ube2t
