Lhx2
Cebpb
Hey1
Sox2
Klf4
Jun
Id3
Hes5
Tsc22d4
Bhlhe40
Tulp3
Fosb
Nkx6-2
Pbx4
Jund
Plagl1
Myb
Sox9
Foxj1
Id2
Fos
Id4
Nr4a1
Hes1
Rfx2
Klf9
Junb
Atf3
Csdc2
Dlx4
Zfp36l1
Arid5a
Mxi1
Trp73
Foxn4
Tfeb
Glis3
Klf2
Cebpd
Klf15
Id1
Zfp423
Tulp4
Rest
Zfp467
Npas1
Nr4a3
Nfatc2
Klf13
Tgif1
Nr1d1
Irx5
Cnbp
Rfx1
Tox2
Tax1bp1
Rfx3
Dbp
Pbrm1
Zfp655
Rreb1
Zfp474
Tcf7l1
Mzf1
Foxa2
Zfp91
Klf6
Dnajc2
Atf4
E2f7
Thyn1
Nr2f6
Prdm8
Phtf1
Rit1
Zfp385a
Otx2
Meox1
Creb3l1
Zfp800
Zfp318
Nr2e1
Glmp
Hey2
Six3
Sp5
Litaf
Msx1
Foxn3
Ttf1
Carhsp1
Tsc22d1
Zbtb11
Max
Mllt10
Barx2
Lcorl
Maz
Fosl2
Dach2
Setdb1
AI987944
Maf1
Smad5
Gatad1
E2f5
Zfp637
Mbd1
Creb3
Atoh8
Zbtb7c
Zmat1
Mtf1
Nfatc1
Zbtb7b
Sox3
Baz2b
Tfcp2l1
Nr4a2
Batf3
Elf4
Nfil3
Emx1
Smarcc2
Rara
Hmgxb3
Csrnp1
Usf2
Tsc22d3
Zfp410
Zfp521
Sub1
Bcl6b
Maff
Gm6710
Casz1
Pias2
Zfp580
Cpeb1
Tal2
Zfp667
Foxp1
Zfp771
Zbtb10
Aff1
Dnajc1
Erf
Smad7
Zfp446
Spdef
Prrx2
Nkx2-4
Cbfb
Arntl
Irf8
Nfkb1
Zfp719
Thap7
Mafk
Tulp1
Creb3l3
Emx2
Rxra
Gon4l
Ppara
5430403G16Rik
Tcf15
Fiz1
Nkx2-3
D630045J12Rik
Zfp956
Ebf4
Rarb
Tfap2e
Six5
Zbtb38
Smad9
Thap11
Hoxb9
Irf3
Rlf
Nr1h3
Zfp24
Meis3
Twist1
Pias4
Hsf4
Deaf1
Gzf1
Jazf1
Irf7
Zfp518b
Preb
Nr2c1
Zfp706
Pou6f1
Hsf2
Zfp777
Ar
Zfp414
Mecom
Klf1
Irf1
Hes2
Egr4
4930522L14Rik
Zfp212
Ahr
Mbd2
Smad6
Elmsan1
Zfp395
Trp63
Zkscan14
Zfp931
Arid4a
Usf1
Zfp653
Zfp819
Creb3l4
Zfp946
Nr1h2
Tcfl5
Zfp536
Zfp711
Terf1
Rxrb
Hnf1b
Rbak
Alx1
Zfp472
Cenpt
Zfp867
Zfp622
Zbtb25
Rbck1
Rcor1
Myc
Klf5
Mlx
Arid5b
Runx1
Npas4
Arid1b
A430033K04Rik
Zscan29
Prrxl1
Zfp944
Gm14305
Cdx4
Zfp54
Mier2
Zfp511
Tbx1
Smarcal1
Zfp263
Rfx8
Hmga1
Atf5
Zfp382
Osr2
Sp2
Ets2
Zkscan7
Tada2b
Phb
Zbtb24
Zfp92
Dmrtc1a
Hsf3
Zbtb22
Zfp334
Snapc4
Hes7
Zfp39
Lbx2
Zfp354b
Zscan12
