Abcc4
Ablim1
Ablim3
Ace2
Actr2
Adam17
Adamts20
Adamts9
Adcy3
Adcy5
Adcy6
Adgrv1
Agbl5
Agr3
Ahi1
Aipl1
Ak7
Ak8
Akt1
Alms1
Alpk1
Anapc2
Ankrd26
Anks3
Anks6
Ano1
Ano2
Arf4
Arhgap36
Arl13b
Arl2
Arl2bp
Arl3
Arl6
Armc2
Armc4
Armc9
Asap1
Atat1
Atg3
Atg5
Atmin
Atoh1
Atp4a
Atxn10
Aurka
B9d1
B9d2
Bag6
Bbip1
Bbof1
Bbs1
Bbs10
Bbs12
Bbs2
Bbs4
Bbs5
Bbs7
Bbs9
B230118H07Rik
C2cd3
2610301B20Rik
Cacna1c
Catip
Cav1
Cby1
Cc2d2a
Ccdc103
Ccdc114
Ccdc13
Ccdc151
Ccdc181
Ccdc28b
Ccdc39
Ccdc40
Ccdc65
Ccdc66
Ccdc78
Ccno
Ccp110
Cct2
Cdc14a
Cdc20
Cdc20b
Cdh23
Cdk10
Cdk20
Cdkl5
Cdkn1b
Celsr2
Celsr3
Cenpf
Cenpj
Cep104
Cep120
Cep128
Cep131
Cep135
Cep162
Cep164
Cep170
Cep19
Cep250
Cep290
Cep350
Cep41
Cep68
Cep72
Cep78
Cep83
Cep89
Cep97
Cetn2
Cetn3
Cfap100
Cfap126
Cfap157
Cfap161
Cfap221
1110004E09Rik
9230110C19Rik
Cfap36
1810043G02Rik
Cfap43
Gm7173
Cfap52
Cfap53
Cfap54
Cfap57
Cfap58
Ccdc108
Cfap69
Cfap70
Chmp4b
Ick
C330027C09Rik
Clcn4
Cldn2
Clrn1
Cluap1
Cnga1
Cnga2
Cnga4
Cngb1
2410089E03Rik
Rsg1
Crb3
Crhr2
Crocc
Csnk1d
Cspp1
Ctnnb1
Cul7
Cyld
Cys1
Daw1
Dcdc2a
Ddx59
Diaph1
Disc1
Dlec1
Dnaaf1
Dnaaf2
Dnaaf3
Dyx1c1
Dnaaf5
Pih1d3
Dnah1
Dnah10
Dnah11
Dnah17
Dnah2
Dnah5
Dnah6
Dnah7b
Dnah9
Dnaic1
Dnaic2
Dnajb13
Dnal1
Dnali1
Dnmbp
Gm17018
Dpysl2
Drc1
Lrrc48
Drc7
Drd1
Drd2
Drd5
Dvl1
Dync2h1
Dync2li1
Dynll1
Dynll2
Dynlrb1
Dynlrb2
Dynlt1b
Dzank1
Dzip1
Dzip1l
E2f4
Efcab7
Efhc1
Egfr
Ehd1
Ehd3
Enkur
Sdccag3
Evc
Evc2
Exoc3
Exoc4
Exoc5
Exoc6
Exoc6b
Ezh2
Fam149b
Fam161a
Fam92a
Fam92b
Fank1
Fbf1
Fgfr3
Fhdc1
Flcn
Flna
Fnbp1l
Fopnl
Foxj1
Foxn4
Fsd1
Fsip2
Fstl1
Fuz
Galnt11
Galr2
Gcat
Gas2l2
Gas8
Gli1
Gli2
Gli3
Glis2
Gmnc
Gnat1
Gnb1
Golgb1
Gpbar1
Gpr161
Gpr173
Gpr20
Gpr22
Gpr83
Gpr88
Gpsm1
Grk1
Adrbk1
Gsk3b
Hap1
Havcr1
Hdac6
Hif1a
Hnf1b
Hsd11b1
Hsp90aa1
Hspa8
Hspb11
Htr6
Htt
Hydin
Hyls1
Ift122
Ift140
Ift172
Ift20
Ift22
Ift27
Ift43
Ift46
Ift52
Ift57
Ift74
Ift80
Ift81
Ift88
Igf1
Igf1r
Inpp5b
Inpp5e
Intu
Invs
Iqcb1
Iqce
Iqcg
Irs1
Jade1
Jazf1
Jhy
Katnal1
Katnal2
Kcnf1
Kcnh1
Kcnj10
Kcnj13
Kcnq1
Kctd10
Kctd17
Kdm3a
D430042O09Rik
2700049A03Rik
4933427D14Rik
D630045J12Rik
Kif13b
Kif14
Kif17
Kif19a
Kif24
Kif27
Kif2a
Kif3a
Kif3b
Kif3c
Kif5b
Kif6
Kif7
Kifc1
Kiss1r
Kiz
