Spag16
Spag17
Spag6l
Ccdc189
Dlec1
Spata17
Dpy30
Spef2
Eno4
Hspa4
Cfap69
Mycbp
Lrguk
Atp2b3
Atp2b4
Cfap46
Cfap54
Cfap74
Cfap221
Wdr93
Cfap99
Hydin
Gm7173
Kif9
Spef1
Stk36
