Ak7
Armc4
Ccdc103
Ccdc114
Ccdc151
Ccdc39
Ccdc40
Ccdc65
Ccno
Cep290
Cfap221
Wdr66
1110004E09Rik
9230110C19Rik
Cfap43
Cfap44
Cfap52
Cfap53
Cfap69
Dnaaf1
Dnaaf2
Dnaaf3
Dyx1c1
Dnaaf5
Pih1d3
Dnah1
Dnah11
Dnah17
Dnah5
Dnah8
Dnah9
Dnaic1
Dnaic2
Dnajb13
Dnal1
Drc1
Dync2h1
Enkur
Foxj1
Fsip2
Gas2l2
Gas8
Hydin
Invs
Lrrc56
Lrrc6
Mcidas
Mns1
Nek10
Nme7
Nme8
Ofd1
Rpgr
Rsph1
Rsph3a
Rsph4a
Rsph9
Spag1
Spef2
Stk36
Ttc12
Ttc25
Zmynd10
Rsph3b
