Abca2
Abcb9
Arsa
Arsb
Arsg
Asah1
Cd63
Cd68
Clcn7
Cln3
Cln5
Ctns
Ctsa
Ctsb
Ctsc
Ctsd
Ctsf
Ctsh
Ctsl
Ctsz
Dnase2a
Gaa
Galc
Galns
Gba
Ggh
Gla
Glb1
Gns
Gusb
Hexa
Hexb
Hyal2
Idua
Ifi30
Lamp1
Laptm4a
Lipa
Man2b1
Manba
Mcoln1
Mfsd8
Naga
Naglu
Neu1
Npc1
Npc2
Pla2g15
Plbd2
Ppt1
Psap
Rnaset2a
Scarb2
Scpep1
Sgsh
Slc17a5
Slc35f6
Slc36a1
Smpd1
Tmem55b
Tpp1
