Dnah9
Dnah11
Dnah17
Dnah5
Dnah8
Dnaic1
Dnaic2
Dnal1
Tcte3
Dynlrb1
Dynlrb2
Dynll1
Dynlt1a
Dnal4
Ccdc114
Dnah10
Dnah2
Wdr63
Wdr78
Las1l
Dynlt3
Tctex1d2
Dynll2
Dnah12
Dnah7a
Dnah1
Dnah6
Dnah14
Dnah3
Dnali1
Cetn1
Cetn2
Cetn3
Zmynd12
Ttc28
Dynlt1b
Dynlt1c
Dnah7b
Ccdc151
Ttc25
