Agt
Slc6a9
Etnppl
Slc6a1
Sparc
Slc1a3
Bcan
Tspan7
Htra1
Cldn10
Ptn
Acsl6
Fgfr3
Sparcl1
Atp1a2
Gpr37l1
Prnp
Acsl3
Aqp4
Foxj1
Hes5
Id2
Id3
Vcam1
Aldh1l1
Bmpr1b
Cxcl12
Dkk3
Dlk1
Epha5
Gja1
Il6st
Itga6
Lifr
Mertk
Notch3
Clu
Ntsr2
Fabp7
Nr2e1
Slc1a2
Bmp1
Bmp6
Id4
Lfng
Notch2
Sox9
