Acot1
Luc7l3
Ckb
Miat
Lima1
Pabpc1
Ascl1
Rpl12
Mycn
Olig2
Egfr
Npm1
Dlx1
Dlx2
Dlx5
Sox11
Hes6
Myb
Bmi1
Ccnd1
Ccnd2
Cdk4
H1fx
H2afx
H2afz
Hmga1
Hmgb2
Igfbpl1
Mcm2
Mcm3
Mcm4
Mcm5
Ccna2
Cdk1
Rpl32
Aurkb
Cdk2
Dcx
Bcl11a
Gad1
Mki67
Sp8
Dll1
Dll3
Egr1
Sox4
