Adam20
Akt3
Alg13
Ap1s2
Arhgap31
Arsb
Arx
B3galnt2
B3glct
B3gnt2
Braf
Bub1b
Cat
Cbl
Cc2d2a
Ccdc28a
Ccdc88c
Ccl2
Ccnd2
Ccno
Cenpf
Cep290
Cep83
Cfap43
Clic4
Col4a1
Crb2
Cwh43
Dag1
Dhcr24
Dnah14
Dnah5
Dnaic1
Dnaic2
Dph6
Dyx1c1
Ercc8
Fam20c
Fanca
Fancb
Fbn1
Fgfr2
Fgfr3
Fkrp
Fktn
Flna
Mfsd7c
Foxj1
Fuz
Gba
Gfap
Gli3
Gpsm2
Hdac6
Hsd17b7
Hras
Hyls1
Ick
Ift172
Ispd
E430025E21Rik
2700049A03Rik
Kif7
Kras
L1cam
Lamb1
Large
Lrrc8b
Mael
Maf
Marcks
Mcidas
Mks1
Mmachc
Mpdz
Mtm1
Nf1
Notch2
Nras
Ofd1
P4hb
Pik3ca
Pik3r2
Plg
Pomgnt1
Pomk
Pomt1
Pomt2
Ptch1
Ptdss1
Pten
Ptpn11
Raf1
Recql4
Rnaseh2a
Rnf125
Rps6ka3
Scube1
Shoc2
Ski
Slc29a3
Smarcc1
Snx10
Sos1
Sumf1
Tbc1d7
Tbx1
Tbx15
Tgfbr1
Tmem216
Tmem67
Tnfrsf10b
Trim71
Ttr
Vangl1
Vangl2
Vhl
Wnt3
Zic2
Zic3
Ak7
Ak8
Ccdc85c
Cfap54
Dnaaf1
Gm17018
Eml1
En1
Fzd3
Hbegf
Hydin
Islr2
Lrrc48
Mboat7
Msx1
Myh9
Napa
Nme5
Nme7
Adcyap1r1
Pax6
Plod2
Rfx3
Rfx4
Rsph9
Ruvbl1
Sgsm3
Slc12a7
Smarcb1
Snx27
Socs7
Spef2
Stk36
Ulk4
Wasl
Wdr81
Zcchc8
Ache
Acsm3
Adamts20
Adamts9
Add1
Afp
Ahi1
Amer1
App
Aqp1
Aqp4
Ar
Arfgef2
Arhgap24
Arl13b
Arl3
Armc4
Armc9
Arvcf
Asrgl1
Avp
B3gat3
B4galt1
B4gat1
B9d1
B9d2
Bbs9
Bdnf
Bicd2
Bmi1
Bmp4
Bok
Brca1
Brca2
Brip1
Ccdc103
Ccdc114
Ccdc151
Ccdc22
Ccdc28b
Ccdc39
Ccdc40
Ccdc65
Cd163
Cd68
Cdc42
Cdca8
Cdh5
Cdkn1c
Celsr2
Cep104
Cep120
Cep41
Cep55
Cetn2
1110004E09Rik
9230110C19Rik
Cfap52
Chd7
Chpt1
Chst3
Clcn7
Cnr2
Cntn5
Cntn6
Cntnap1
Col18a1
Col1a2
Comt
Coro1a
Cox6b1
Cox7b
2410089E03Rik
Crebbp
Crp
Csf1r
Csf2
Cspp1
Ctnnb1
Ctnnd1
Ctsk
Cxcl5
Cyp26c1
Dcdc2a
Dhcr7
Dhdds
Dlg5
Dll4
Dmpk
Dnaaf2
Dnaaf3
Dnaaf5
Dnah1
Dnah11
Dnah3
Dnajb13
Dnal1
Dock6
Dph1
Drc1
Dusp2
E2f1
E2f5
Ebp
Eci1
Egf
Endou
Enoph1
Eogt
Epo
Ercc2
Ercc3
Ercc4
Ercc5
Erf
Esco2
Exoc3l2
Exosc6
Eya1
F2r
F3
F5
Fam111a
Fancc
Fancd2
Fance
Fancf
Fancg
Fanci
Fancl
Fancm
Fgfr1
Fig4
Foxc1
Fras1
Fto
Galc
Gas2l2
Gas8
Gclc
Gh
Glb1
Gldc
Gli2
Glp1r
Gmppb
Gnaq
Gp1bb
Gpc3
Gpc4
Gusb
Hba-a1
Hccs
Hira
Hmgb1
Hnrnpu
Hspd1
Ids
Idua
Ifng
Ift122
Ift43
Igf1
Igfbp1
Ikbkb
Il1b
Il24
Il4
Il6
Inpp5e
Itgb1
Itpr1
Jmjd1c
Kdm6a
D430042O09Rik
4932438A13Rik
Kif1a
Kif27
Kif4
Klf6
Kmt2d
Lamc2
Ldlr
Lig4
Lmbr1
Lrrc56
Lrrc6
Mad2l2
Map2k1
Map2k2
Mark2
Mbtps2
Mc1r
Med12
Mfn2
Fam188b
Mir146b
Mtor
Musk
Myc
Myh2
Ncam1
Ndc80
Ndufb11
Nell1
Neo1
Nes
Nf2
Nfia
Nfib
Nfix
Nid1
Nme8
Nmnat2
Notch1
Nphp1
Nr1i2
Nsun2
Nt5e
Ntf3
Ogdh
Ostm1
Pafah1b1
Pak1
Pak3
Palb2
Pax2
Pax3
Pcbd1
Pcm1
Pdgfb
Pdgfrb
Pdha1
Pex19
Pibf1
Piezo2
Pih1h3b
Pik3cb
Pik3cd
Pik3cg
Pkd2
Plod1
Polr3a
Pomgnt2
Por
Porcn
Ppara
Ppp1cb
Ppp2r1a
Ppp2r5d
Prdm16
Prdx1
Prkar1a
Prl
Psen1
Psmg1
Ptch2
Pycr1
Rad51
Rad51c
Rap1a
Rap1b
Rbpj
Rfwd3
Rhof
Rmrp
Rnd3
Rnf34
Rogdi
Rpgr
Rpgrip1
Rpgrip1l
Rreb1
Rsph1
Rsph3a
Rsph4a
Rspo2
Tmem5
S100a10
S100b
Sec24c
Sec24d
Sf3b4
Sfta2
Sftpa1
Sftpc
Sftpd
Sik3
Sin3a
Slc12a2
Slc13a5
Slc17a5
Slc20a2
Slc25a1
Slc25a24
Slc4a10
Slc52a2
Slc9a3r1
Slx4
Smarca1
Smarca4
Smoc1
Sms
Sox2
Sox3
Sox9
Spag1
Spag6
Sufu
T
Tchh
Tcirg1
Tctn1
Tctn2
Tgfb1
Tbxas1
Tmem107
Tmem138
Tmem231
Tmem237
Tmem92
Tnf
Tnfrsf11a
Tnfrsf1a
Tnfsf11
Trp53
Trp63
Trp73
Trem2
Trpv4
Tsc1
Tsc2
Ttc25
Ttc8
Tubb3
Tyrobp
Ube2t
Ufd1l
Ugcg
Vac14
Vsx1
Wasf1
Wdpcp
Wnt1
Xrcc2
Zbtb20
Zmynd10
Zfp423
Znhit3
Tbce
Ephb2
